id,cluster
368136,58
368137,48
368138,58
368139,48
368140,59
368141,-1
368142,52
368143,69
368144,-1
368146,1
368147,1
368148,1
368145,46
368149,65
368150,57
368151,19
368152,18
368154,0
368155,2
368156,-1
368157,-1
368158,76
368159,79
368160,56
368161,-1
368162,-1
368163,82
368164,85
368165,85
368166,-1
368167,75
368168,69
368169,73
368170,103
368171,53
368172,10
368173,20
368174,68
368175,-1
368176,90
368177,-1
368178,46
368179,38
368180,74
368181,32
368182,-1
368183,-1
368184,13
368185,93
368186,-1
368187,-1
368188,96
368189,-1
368190,-1
368191,88
368192,15
368193,86
368194,27
368195,80
368196,67
368197,-1
368198,15
368199,-1
368200,53
368201,33
368202,59
368203,-1
368204,75
368205,-1
368206,68
368207,92
368208,70
368209,41
368210,74
368211,69
368212,8
368213,14
368214,81
368215,15
368216,-1
368217,-1
368218,89
368219,46
368220,53
368221,-1
368222,58
368223,41
368224,99
368225,-1
368226,-1
368227,-1
368228,32
368229,31
368230,74
368231,46
368232,56
368233,90
368234,-1
368235,65
368236,63
368237,63
368238,81
368239,45
368240,91
368241,84
368242,55
368243,3
368244,-1
368245,-1
368246,-1
368247,78
368248,76
368249,-1
368250,90
368251,72
368252,-1
368254,42
368255,8
368256,64
368257,14
368258,-1
368259,75
368260,76
368261,67
368262,-1
368263,-1
368264,48
368265,83
368266,83
368267,-1
368268,-1
368269,13
368270,10
368271,75
368272,65
368273,83
368274,81
368275,76
368276,10
368277,14
368278,-1
368279,91
368280,58
368281,69
368282,70
368283,-1
368284,65
368285,54
368286,-1
368287,5
368288,87
368289,80
368290,-1
368291,75
368292,67
368293,91
368294,-1
368295,58
368296,58
368297,28
368298,49
368299,-1
368300,76
368301,7
368302,-1
368303,54
368304,-1
368305,67
368306,60
368307,6
368308,92
368309,-1
368310,-1
368312,76
368313,69
368314,69
368315,-1
368317,0
368318,2
368319,25
368320,88
368321,35
368322,-1
368323,18
368324,67
368325,101
368326,54
368327,65
368328,-1
368329,70
368330,84
368331,-1
368332,79
368333,32
368334,82
368335,86
368336,77
368337,26
368338,60
368339,32
368340,100
368341,58
368342,-1
368343,43
368344,52
368345,71
368346,81
368347,33
368348,-1
368349,44
368350,-1
368351,44
368352,64
368353,80
368354,-1
368355,-1
368356,91
368357,-1
368358,80
368359,-1
368360,81
368361,92
368362,70
368363,93
368364,57
368365,-1
368366,-1
368367,-1
368368,-1
368369,-1
368370,-1
368371,-1
368372,19
368373,96
368374,-1
368375,-1
368377,100
368378,75
368379,81
368380,-1
368381,56
368382,69
368383,68
368384,15
368385,3
368386,82
368387,78
368388,35
368389,35
368390,14
368391,3
368392,-1
368393,84
368394,87
368395,81
368396,3
368397,80
368398,80
368399,65
368400,-1
368401,7
368402,-1
368403,-1
